Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
aufgehenSonneV,Motion,Verb,0.37,0.234,0.136,658
ElternN,Kinship,Noun,0.431,0.295,0.136,659
ReiheN,NA,Noun,0.561,0.425,0.136,660
hierhinADV,NA,Adverb,0.37,0.234,0.136,661
BauN,NA,Noun,0.381,0.245,0.136,662
ausziehenV,NA,Verb,0.354,0.219,0.135,663
AugustN,NA,Noun,0.773,0.637,0.135,664
bewahrenV,Possession,Verb,0.383,0.25,0.134,665
ankommenV,Motion,Verb,0.377,0.244,0.134,666
KreuzN,Spatial relations,Noun,0.716,0.584,0.132,667
hochhebenV,Motion,Verb,0.377,0.245,0.132,668
dorthinADV,NA,Adverb,0.367,0.236,0.132,669
riechenV,Sense perception,Verb,0.422,0.291,0.131,670
GromutterN,Kinship,Noun,0.433,0.302,0.131,671
schenkenV,NA,Verb,0.388,0.258,0.131,672
verstehenV,NA,Verb,0.36,0.23,0.13,673
ApfelN,NA,Noun,0.693,0.563,0.13,674
rettenV,Possession,Verb,0.499,0.37,0.129,675
wiegenV,NA,Verb,0.36,0.231,0.129,676
wehenV,Motion,Verb,0.416,0.288,0.128,677
SeptemberN,NA,Noun,0.787,0.658,0.128,678
OrtN,Spatial relations,Noun,0.427,0.3,0.128,679
KisteN,NA,Noun,0.73,0.604,0.126,680
TanteN,Kinship,Noun,0.436,0.31,0.126,681
ergreifenV,NA,Verb,0.41,0.285,0.125,682
schreitenV,NA,Verb,0.368,0.244,0.124,683
danachADV,NA,Adverb,0.347,0.223,0.124,684
PlatzN,NA,Noun,0.36,0.236,0.124,685
StuhlN,The house,Noun,0.73,0.607,0.123,686
reichA,Possession,Adjective,0.711,0.588,0.123,687
klingelnV,NA,Verb,0.483,0.361,0.122,688
reifenV,NA,Verb,0.346,0.223,0.122,689
warumFADV,Cognition,Interrogative (adv.),0.402,0.281,0.121,690
kraftigA,NA,Adjective,0.414,0.294,0.12,691
WangeN,The body,Noun,0.373,0.254,0.119,692
hauenV,NA,Verb,0.381,0.262,0.119,693
GewichtN,NA,Noun,0.394,0.275,0.119,694
suchenV,Possession,Verb,0.371,0.252,0.119,695
armA,Possession,Adjective,0.399,0.282,0.117,696
hinterPRP,Spatial relations,Preposition,0.367,0.251,0.116,697
NovemberN,NA,Noun,0.784,0.669,0.116,698
MoorN,NA,Noun,0.353,0.237,0.116,699
HakenN,Spatial relations,Noun,0.483,0.367,0.115,700
nacktA,The body,Adjective,0.425,0.31,0.115,701
reifA,Food and drink,Adjective,0.357,0.242,0.115,702
andererA,Miscellaneous function words,Adjective,0.347,0.233,0.114,703
HeimN,NA,Noun,0.385,0.27,0.114,704
vorherADV,Spatial relations,Adverb,0.364,0.25,0.114,705
versteckenV,Spatial relations,Verb,0.333,0.22,0.113,706
steigenV,NA,Verb,0.348,0.235,0.113,707
ZeitN,Time,Noun,0.485,0.372,0.113,708
abnehmenV,NA,Verb,0.414,0.302,0.112,709
RuheN,Sense perception,Noun,0.477,0.365,0.112,710
larmenV,NA,Verb,0.366,0.255,0.111,711
arbeitenV,NA,Verb,0.4,0.29,0.11,712
kletternV,Motion,Verb,0.358,0.248,0.11,713
hinaufADV,Spatial relations,Adverb,0.395,0.286,0.109,714
aufhebenV,Spatial relations,Verb,0.36,0.252,0.108,715
schleifenV,NA,Verb,0.405,0.297,0.108,716
DachN,The house,Noun,0.413,0.305,0.108,717
fahrenV,NA,Verb,0.331,0.224,0.107,718
klirrenV,NA,Verb,0.4,0.293,0.107,719
einwenigADV,NA,Adverb,0.366,0.259,0.107,720
sichunterhaltenV,NA,Verb,0.385,0.28,0.106,721
LederN,Clothing and grooming,Noun,0.419,0.315,0.105,722
HechtN,NA,Noun,0.581,0.477,0.104,723
alleinADV,Quantity,Adverb,0.338,0.234,0.103,724
klebenV,NA,Verb,0.537,0.435,0.102,725
kriechenV,NA,Verb,0.377,0.275,0.101,726
KindN,Kinship,Noun,0.339,0.238,0.101,727
BrunnenN,NA,Noun,0.544,0.443,0.101,728
FalleN,Warfare and hunting,Noun,0.351,0.25,0.101,729
OfenN,The house,Noun,0.637,0.537,0.1,730
JanuarN,NA,Noun,0.782,0.682,0.1,731
geschlossenA,NA,Adjective,0.396,0.296,0.1,732
GrenzeN,NA,Noun,0.426,0.328,0.098,733
SpiegelN,Clothing and grooming,Noun,0.642,0.544,0.098,734
faulA,The body,Adjective,0.432,0.335,0.097,735
aufhorenV,NA,Verb,0.401,0.303,0.097,736
wendenV,NA,Verb,0.338,0.242,0.096,737
OktoberN,NA,Noun,0.782,0.686,0.096,738
JuniN,NA,Noun,0.755,0.66,0.095,739
WeideBaumN,NA,Noun,0.375,0.28,0.095,740
schwankenV,NA,Verb,0.364,0.27,0.095,741
strickenV,NA,Verb,0.374,0.282,0.092,742
hutenV,NA,Verb,0.459,0.368,0.091,743
GeschenkN,NA,Noun,0.401,0.311,0.09,744
HaufenN,NA,Noun,0.428,0.338,0.09,745
sinkenV,NA,Verb,0.316,0.227,0.089,746
AnhoheN,NA,Noun,0.346,0.258,0.089,747
