Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
HundN,Animals,Noun,0.807,0.401,0.406,59
wollenV,Emotions and values,Verb,0.673,0.267,0.406,60
laufenV,Motion,Verb,0.741,0.336,0.404,61
vernehmenV,NA,Verb,0.686,0.283,0.403,62
lehrenV,Cognition,Verb,0.754,0.351,0.403,63
eilenV,Time,Verb,0.781,0.379,0.403,64
reienV,NA,Verb,0.69,0.288,0.402,65
kaufenV,Possession,Verb,0.71,0.309,0.401,66
breitA,Spatial relations,Adjective,0.732,0.335,0.398,67
soADV,NA,Adverb,0.695,0.298,0.397,68
StraeN,Motion,Noun,0.651,0.255,0.397,69
faulenV,NA,Verb,0.721,0.324,0.396,70
wegenPRP,NA,Preposition,0.708,0.312,0.396,71
PferdN,Animals,Noun,0.806,0.41,0.396,72
essenV,Food and drink,Verb,0.724,0.33,0.394,73
hungrigA,Food and drink,Adjective,0.746,0.354,0.392,74
GromutterN,Kinship,Noun,0.746,0.354,0.392,75
langA,Spatial relations,Adjective,0.821,0.429,0.392,76
konnenV,NA,Verb,0.656,0.264,0.391,77
linkerA,Spatial relations,Adjective,0.754,0.363,0.391,78
morgenADV,Time,Adverb,0.771,0.38,0.391,79
aufwachenV,The body,Verb,0.702,0.312,0.39,80
EndeN,Spatial relations,Noun,0.784,0.393,0.39,81
NachtN,Time,Noun,0.693,0.303,0.39,82
LochN,Spatial relations,Noun,0.728,0.341,0.387,83
langeADV,Time,Adverb,0.811,0.425,0.386,84
sitzenV,Spatial relations,Verb,0.699,0.313,0.386,85
GedankeN,NA,Noun,0.839,0.458,0.382,86
bringenV,Motion,Verb,0.716,0.334,0.381,87
verfaulenV,NA,Verb,0.723,0.342,0.381,88
hinzufugenV,NA,Verb,0.662,0.283,0.379,89
LarmN,NA,Noun,0.669,0.29,0.379,90
fallenlassenV,NA,Verb,0.697,0.318,0.379,91
verbindenV,NA,Verb,0.699,0.321,0.378,92
glattA,Sense perception,Adjective,0.714,0.336,0.378,93
wohinFADV,NA,Interrogative (adv.),0.749,0.372,0.377,94
altA,NA,Adjective,0.767,0.39,0.376,95
arbeitenV,NA,Verb,0.736,0.36,0.376,96
heuteADV,Time,Adverb,0.728,0.352,0.376,97
FerseN,The body,Noun,0.725,0.349,0.376,98
GehirnN,The body,Noun,0.756,0.381,0.376,99
genesenV,NA,Verb,0.666,0.29,0.375,100
abschneidenV,NA,Verb,0.635,0.26,0.375,101
KreisN,Spatial relations,Noun,0.695,0.321,0.375,102
versprechenV,Speech and language,Verb,0.773,0.399,0.374,103
druckenV,Basic actions and technology,Verb,0.739,0.365,0.374,104
AscheN,The physical world,Noun,0.788,0.414,0.374,105
KissenN,The house,Noun,0.771,0.397,0.374,106
WestenN,Spatial relations,Noun,0.763,0.389,0.374,107
auswahlenV,NA,Verb,0.73,0.357,0.373,108
scharfA,Sense perception,Adjective,0.672,0.299,0.373,109
MilchN,Food and drink,Noun,0.83,0.457,0.373,110
FestlandN,The physical world,Noun,0.718,0.346,0.371,111
BrotN,Food and drink,Noun,0.72,0.352,0.368,112
WortN,Speech and language,Noun,0.738,0.37,0.368,113
andernV,Spatial relations,Verb,0.71,0.342,0.368,114
rauchenV,NA,Verb,0.672,0.305,0.368,115
FuN,The body,Noun,0.645,0.278,0.367,116
