Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
KonigN,Social and political relations,Noun,0.562,0.593,-0.031,949
LagerfeuerN,NA,Noun,0.264,0.296,-0.031,950
erzahlenV,Speech and language,Verb,0.249,0.282,-0.033,951
denkenV,NA,Verb,0.418,0.451,-0.033,952
treffenV,NA,Verb,0.249,0.284,-0.034,953
JungeN,Kinship,Noun,0.266,0.3,-0.034,954
beherrschenV,Social and political relations,Verb,0.359,0.394,-0.035,955
SumpfN,The physical world,Noun,0.259,0.297,-0.038,956
GedankeN,NA,Noun,0.492,0.532,-0.04,957
stumpfA,Sense perception,Adjective,0.318,0.361,-0.044,958
hubschA,NA,Adjective,0.239,0.286,-0.046,959
GabelN,Food and drink,Noun,0.559,0.606,-0.047,960
prahlenV,Speech and language,Verb,0.241,0.288,-0.047,961
BeutelN,NA,Noun,0.374,0.421,-0.047,962
GrovaterN,Kinship,Noun,0.41,0.46,-0.05,963
plotzlichADV,NA,Adverb,0.233,0.283,-0.05,964
schleppenV,NA,Verb,0.293,0.345,-0.052,965
HerdeN,NA,Noun,0.358,0.413,-0.055,966
storenV,NA,Verb,0.254,0.315,-0.061,967
ruttelnV,NA,Verb,0.296,0.358,-0.062,968
SchnurN,NA,Noun,0.429,0.493,-0.063,969
AtemN,NA,Noun,0.287,0.351,-0.064,970
ZaunN,Agriculture and vegetation,Noun,0.246,0.313,-0.067,971
OlN,Food and drink,Noun,0.607,0.674,-0.067,972
SchlossN,The house,Noun,0.407,0.478,-0.071,973
EuleN,Animals,Noun,0.404,0.476,-0.071,974
MachtN,NA,Noun,0.503,0.576,-0.073,975
immerADV,Time,Adverb,0.269,0.343,-0.075,976
groA,Spatial relations,Adjective,0.387,0.462,-0.075,977
KatzeN,Animals,Noun,0.503,0.58,-0.078,978
PlatteN,NA,Noun,0.615,0.694,-0.08,979
SchwarmN,NA,Noun,0.241,0.327,-0.086,980
KircheN,Religion and belief,Noun,0.488,0.581,-0.093,981
ZwiebelN,NA,Noun,0.585,0.681,-0.097,982
PuppeN,NA,Noun,0.356,0.454,-0.098,983
jagenV,Warfare and hunting,Verb,0.321,0.422,-0.1,984
nochADV,NA,Adverb,0.288,0.396,-0.108,985
